algo,k,frac,m,seed,center_idx,longitude,latitude
lightweight,2,0.005,4997.0,3.0,1,-73.93818929606618,40.78338017469807
lightweight,2,0.005,4997.0,4.0,0,-73.93759370317245,40.78182042755711
lightweight,2,0.005,4997.0,4.0,1,-73.98421409322435,40.72597671091088
random,2,0.005,4997.0,0.0,0,-73.98374278336911,40.72638762687274
random,2,0.005,4997.0,0.0,1,-73.93706094477322,40.781926163017374
random,2,0.005,4997.0,1.0,0,-73.98334757020682,40.725079333776804
random,2,0.005,4997.0,1.0,1,-73.9387808326825,40.783851458279344
random,2,0.005,4997.0,2.0,0,-73.98439121868913,40.725501946105574
random,2,0.005,4997.0,2.0,1,-73.93723733932096,40.77780415912504
random,2,0.005,4997.0,3.0,0,-73.93583758638745,40.77570957932722
random,2,0.005,4997.0,3.0,1,-73.98434784811266,40.72585540113627
random,2,0.005,4997.0,4.0,0,-73.93712744057954,40.77624280838279
random,2,0.005,4997.0,4.0,1,-73.98469319691817,40.72631788869922
lightweight,2,0.01,9993.0,0.0,0,-73.98438829109163,40.72634077846138
lightweight,2,0.01,9993.0,0.0,1,-73.93653726349721,40.77648237292628
lightweight,2,0.01,9993.0,1.0,0,-73.98431712186033,40.72604890691875
lightweight,2,0.01,9993.0,1.0,1,-73.93629664115267,40.77720473159055
lightweight,2,0.01,9993.0,2.0,0,-73.93837520766395,40.779322771792046
lightweight,2,0.01,9993.0,2.0,1,-73.98414672191203,40.72568398605271
lightweight,2,0.01,9993.0,3.0,0,-73.98325607836765,40.72497505910736
lightweight,2,0.01,9993.0,3.0,1,-73.9374949045919,40.78273148218296
lightweight,2,0.01,9993.0,4.0,0,-73.93675334206765,40.78047638994679
lightweight,2,0.01,9993.0,4.0,1,-73.98437933040496,40.726313460459885
random,2,0.01,9993.0,0.0,0,-73.98364410721864,40.72629427014351
random,2,0.01,9993.0,0.0,1,-73.93734578237107,40.78211088710875
random,2,0.01,9993.0,1.0,0,-73.98317084746839,40.72501677185675
random,2,0.01,9993.0,1.0,1,-73.93852639168689,40.78416696425945
random,2,0.01,9993.0,2.0,0,-73.98448679054748,40.726145367994484
random,2,0.01,9993.0,2.0,1,-73.93662806461805,40.778003304415115
random,2,0.01,9993.0,3.0,0,-73.98445934466848,40.72654967040717
random,2,0.01,9993.0,3.0,1,-73.93635973763618,40.77612249946307
random,2,0.01,9993.0,4.0,0,-73.98428865334871,40.72655599827048
random,2,0.01,9993.0,4.0,1,-73.93688147906208,40.778732901942355
lightweight,2,0.05,49966.0,0.0,0,-73.93664519567248,40.781131765824924
lightweight,2,0.05,49966.0,0.0,1,-73.98358809259072,40.725991361474996
lightweight,2,0.05,49966.0,1.0,0,-73.93700709891141,40.779464705583
lightweight,2,0.05,49966.0,1.0,1,-73.98407655707729,40.725898792104296
lightweight,2,0.05,49966.0,2.0,0,-73.9836867057693,40.72619913780676
lightweight,2,0.05,49966.0,2.0,1,-73.9370319588542,40.78176786094428
lightweight,2,0.05,49966.0,3.0,0,-73.98365793220592,40.72578422193947
