algo,k,frac,m,seed,center_idx,Lon,Lat
random,4,0.0025,1856.0,1.0,2,-73.8884775280899,40.766968539325845
random,4,0.0025,1856.0,1.0,3,-73.99826193390453,40.73087858017136
random,4,0.0025,1856.0,2.0,0,-73.89077176470589,40.76211764705882
random,4,0.0025,1856.0,2.0,1,-73.97225479632063,40.766224572930355
random,4,0.0025,1856.0,2.0,2,-73.99813267973856,40.731024444444444
random,4,0.0025,1856.0,2.0,3,-73.96548204081633,40.6943106122449
random,4,0.0025,1856.0,3.0,0,-73.97252560819462,40.76629078104994
random,4,0.0025,1856.0,3.0,1,-73.88687532467533,40.76553116883117
random,4,0.0025,1856.0,3.0,2,-73.99774673495519,40.7310457106274
random,4,0.0025,1856.0,3.0,3,-73.9617267281106,40.69259539170507
random,4,0.0025,1856.0,4.0,0,-73.88116219512195,40.76013780487805
random,4,0.0025,1856.0,4.0,1,-73.97308544217687,40.766574285714285
random,4,0.0025,1856.0,4.0,2,-73.96134875,40.693927083333335
random,4,0.0025,1856.0,4.0,3,-73.99763354192741,40.7313887359199
lightweight,4,0.005,3711.0,0.0,0,-73.99735303897542,40.73157716530962
lightweight,4,0.005,3711.0,0.0,1,-73.97183273088329,40.7660789715788
lightweight,4,0.005,3711.0,0.0,2,-73.88660928693018,40.76867153774912
lightweight,4,0.005,3711.0,0.0,3,-73.96556948660013,40.69401331022961
lightweight,4,0.005,3711.0,1.0,0,-73.99756209027277,40.73146831329175
lightweight,4,0.005,3711.0,1.0,1,-73.97268317211666,40.766498169753895
lightweight,4,0.005,3711.0,1.0,2,-73.96386100385911,40.695820685426824
lightweight,4,0.005,3711.0,1.0,3,-73.8845619166293,40.76736822797825
lightweight,4,0.005,3711.0,2.0,0,-73.96376008144756,40.69564088825256
lightweight,4,0.005,3711.0,2.0,1,-73.97254528256022,40.766544324735996
lightweight,4,0.005,3711.0,2.0,2,-73.88587662794656,40.76840306540768
lightweight,4,0.005,3711.0,2.0,3,-73.99753418580111,40.73077783220178
lightweight,4,0.005,3711.0,3.0,0,-73.97377632472123,40.76498478602302
lightweight,4,0.005,3711.0,3.0,1,-73.96387093542242,40.69559858913648
lightweight,4,0.005,3711.0,3.0,2,-73.9978987031908,40.730335364883736
lightweight,4,0.005,3711.0,3.0,3,-73.88379374817018,40.76836483238438
lightweight,4,0.005,3711.0,4.0,0,-73.9732619184127,40.76450717058004
lightweight,4,0.005,3711.0,4.0,1,-73.9983526054516,40.72964337513118
lightweight,4,0.005,3711.0,4.0,2,-73.88495461406698,40.769637309983914
lightweight,4,0.005,3711.0,4.0,3,-73.96096646942078,40.69567318238791
random,4,0.005,3711.0,0.0,0,-73.96276577868852,40.694184426229505
random,4,0.005,3711.0,0.0,1,-73.97340890744607,40.766275504523314
random,4,0.005,3711.0,0.0,2,-73.88495194805195,40.76949155844156
random,4,0.005,3711.0,0.0,3,-73.99749895833334,40.73155024509804
random,4,0.005,3711.0,1.0,0,-73.99790677860696,40.730667412935325
random,4,0.005,3711.0,1.0,1,-73.97252176271186,40.76571559322034
random,4,0.005,3711.0,1.0,2,-73.88483913043478,40.76667267080745
random,4,0.005,3711.0,1.0,3,-73.96254175588865,40.69403747323341
random,4,0.005,3711.0,2.0,0,-73.99820538509705,40.73126280525986
random,4,0.005,3711.0,2.0,1,-73.88776732026143,40.76542222222222
random,4,0.005,3711.0,2.0,2,-73.97258306451613,40.76660678763441
random,4,0.005,3711.0,2.0,3,-73.96356194503171,40.694976109936576
random,4,0.005,3711.0,3.0,0,-73.99773979656707,40.73127450731087
random,4,0.005,3711.0,3.0,1,-73.97316300731869,40.76590419161677
random,4,0.005,3711.0,3.0,2,-73.96352331154684,40.69397080610022
random,4,0.005,3711.0,3.0,3,-73.88577784090909,40.76505965909091
random,4,0.005,3711.0,4.0,0,-73.9967674955595,40.732702368265244
random,4,0.005,3711.0,4.0,1,-73.962995951417,40.69467469635627
random,4,0.005,3711.0,4.0,2,-73.97188689956332,40.76697845705968
random,4,0.005,3711.0,4.0,3,-73.88340519480519,40.76468701298701
lightweight,4,0.01,7423.0,0.0,0,-73.9974144673329,40.73155276514873
lightweight,4,0.01,7423.0,0.0,1,-73.97222006549725,40.76656317629698
